A,B,C,OD,l,epsilon_r,maxFreq,middleFreq
0.03,0.015,0.01,0.06,0.004,2.8,2.99925337786113,1.58006261034687
0.035,0.015,0.01,0.06,0.004,2.8,2.79930315267039,1.52597974460543
0.025,0.0175,0.01,0.06,0.004,2.8,9.9175311694608,2.60461688955045
0.04,0.015,0.01,0.06,0.004,2.8,2.71932306259409,1.44103809790486
0.03,0.0175,0.01,0.06,0.004,2.8,3.51912396335706,1.68148924265735
0.02,0.0175,0.01,0.06,0.004,2.8,9.9175311694608,2.60461688955045
0.04,0.0175,0.01,0.06,0.004,2.8,3.27918369312817,1.56085032859066
0.035,0.0175,0.01,0.06,0.004,2.8,3.31917373816632,1.60606347440001
0.02,0.02,0.01,0.06,0.004,2.8,9.9175311694608,2.60461688955045
0.025,0.02,0.01,0.06,0.004,2.8,9.9175311694608,2.60461688955045
0.03,0.02,0.01,0.06,0.004,2.8,4.35891490915817,2.11783052684609
0.035,0.02,0.01,0.06,0.004,2.8,4.63884522442521,2.05002231464172
0.04,0.02,0.01,0.06,0.004,2.8,4.35891490915817,1.89421514608405
0.02,0.015,0.008,0.06,0.008,2.8,9.91755092030554,2.53630121014484
0.025,0.015,0.008,0.06,0.008,2.8,9.91755092030554,2.53630121014484
0.03,0.015,0.008,0.06,0.008,2.8,2.99925935089885,1.69131426363196
0.035,0.015,0.008,0.06,0.008,2.8,4.47889396400895,1.78508469996885
0.04,0.015,0.008,0.06,0.008,2.8,4.07899271722244,1.73565639255237
0.02,0.0175,0.008,0.06,0.008,2.8,9.91755092030554,2.53630121014484
0.025,0.0175,0.008,0.06,0.008,2.8,9.91755092030554,2.53630121014484
0.03,0.0175,0.008,0.06,0.008,2.8,5.03875570951007,2.08803371808233
